year,industry,ksic_section,owner_group,item,value
2014,전체,전체,연령미상,신생,1776.0
2014,전체,전체,연령미상,소멸,1932.0
2014,전체,전체,연령미상,신생률,14.5
2014,전체,전체,연령미상,소멸률,15.7
2015,전체,전체,연령미상,활동,6616.0
2015,전체,전체,연령미상,신생,873.0
2015,전체,전체,연령미상,소멸,628.0
2015,전체,전체,연령미상,신생률,13.2
2015,전체,전체,연령미상,소멸률,9.5
2016,전체,전체,연령미상,활동,5588.0
2016,전체,전체,연령미상,신생,795.0
2016,전체,전체,연령미상,소멸,497.0
2016,전체,전체,연령미상,신생률,14.2
2016,전체,전체,연령미상,소멸률,8.9
2017,전체,전체,연령미상,활동,6089.0
2017,전체,전체,연령미상,신생,815.0
2017,전체,전체,연령미상,소멸,553.0
2017,전체,전체,연령미상,신생률,13.4
2017,전체,전체,연령미상,소멸률,9.1
2018,전체,전체,연령미상,활동,5916.0
2018,전체,전체,연령미상,신생,779.0
2018,전체,전체,연령미상,소멸,513.0
2018,전체,전체,연령미상,신생률,13.2
2018,전체,전체,연령미상,소멸률,8.7
2019,전체,전체,연령미상,활동,6115.0
2019,전체,전체,연령미상,신생,814.0
